Timestamp,Class,Archetype,Rank,Link,Class1,Archetype1,First1,Result1,Class2,Archetype2,First2,Result2,Out of GP (Lost twice),Class3,Archetype3,First3,Result3,Out of GP (Lost twice).1,Class4,Archetype4,First4,Result4,Out of GP (Lost twice).2,Class5,Archetype5,First5,Result5,Wins,First
2018/09/24 2:00:42 PM MDT,Havencraft,Tenko,Master,,Runecraft,Dshift,1.0,1.0,Shadowcraft,Midrange,2.0,1.0,,Forestcraft,Roach,2.0,0.0,,Bloodcraft,Dfb,1.0,1.0,,Forestcraft,Roach,1.0,1.0,4.0,0.0
2018/09/24 2:03:09 PM MDT,Shadowcraft,Midrange,Master,,Shadowcraft,Midrange,1.0,1.0,Bloodcraft,Dfb,2.0,1.0,,Shadowcraft,Midrange,2.0,0.0,"I'm out, feels bad",,,,,,,,,,2.0,0.0
2018/09/24 2:58:13 PM MDT,Bloodcraft,Dfb,Master,,Bloodcraft,Dfb,2.0,1.0,Runecraft,Dshift,1.0,1.0,,Dragoncraft,Dragonplate,2.0,1.0,,Shadowcraft,Midrange,2.0,1.0,,Runecraft,Daria,1.0,1.0,5.0,0.0
2018/09/24 3:10:01 PM MDT,Havencraft,Tenko,A,,Shadowcraft,Atomy,2.0,0.0,Bloodcraft,Dfb,1.0,1.0,,Shadowcraft,Atomy,2.0,0.0,"I'm out, feels bad",,,,,,,,,,1.0,0.0
2018/09/24 3:53:45 PM MDT,Shadowcraft,Midrange,Master,,Forestcraft,Control,1.0,1.0,Swordcraft,Aggro,1.0,1.0,,Bloodcraft,Dfb,2.0,1.0,,Havencraft,Tenko,2.0,0.0,,Runecraft,Dshift,1.0,0.0,3.0,0.0
2018/09/24 4:13:07 PM MDT,Swordcraft,Aggro,Grand Master,,Forestcraft,Roach,,1.0,Shadowcraft,Midrange,,1.0,,Havencraft,Tenko,,0.0,,Forestcraft,Roach,,1.0,,Shadowcraft,Midrange,,0.0,3.0,0.0
2018/09/24 4:15:42 PM MDT,Runecraft,Burn,AA,,Runecraft,Burn,2.0,0.0,Swordcraft,Aggro,1.0,1.0,,Bloodcraft,Dfb,1.0,1.0,,Runecraft,Dshift,2.0,0.0,"I'm out, feels bad",,,,,2.0,0.0
2018/09/24 4:25:40 PM MDT,Swordcraft,Aggro,Beginner,,Bloodcraft,Dfb,2.0,1.0,Bloodcraft,Dfb,2.0,1.0,,Shadowcraft,Midrange,2.0,1.0,,Shadowcraft,Midrange,1.0,1.0,"I'm out, feels bad",Portalcraft,Puppet,2.0,0.0,4.0,0.0
2018/09/24 4:42:05 PM MDT,Runecraft,Dshift,B,,Bloodcraft,Vengeance,2.0,0.0,Forestcraft,Roach,1.0,0.0,"I'm out, feels bad",,,,,,,,,,,,,,,0.0,0.0
2018/09/24 5:16:06 PM MDT,Bloodcraft,Dfb,Master,,Bloodcraft,Dfb,1.0,1.0,Bloodcraft,Dfb,2.0,1.0,,Forestcraft,Roach,2.0,0.0,,Swordcraft,Aggro,2.0,1.0,,Havencraft,Tenko,1.0,1.0,4.0,0.0
2018/09/24 9:00:00 PM MDT,Runecraft,Burn,AA,,Forestcraft,Roach,2.0,0.0,Swordcraft,Spartacus,1.0,1.0,,Shadowcraft,Midrange,2.0,0.0,"I'm out, feels bad",,,,,,,,,,1.0,0.0
2018/09/24 9:02:59 PM MDT,Swordcraft,Aggro,Master,https://shadowverse-portal.com/deck/3.2.6SuKQ.6SuKQ.6SuKQ.6HOkc.6HOkc.6HOkc.6SojM.6SojM.6SojM.6Sw1o.6Sw1o.6Sw1o.fsmhI.fsmhI.fsmhI.6LHlo.6LHlo.6LHlo.6P3SY.6P3SY.6P3SY.6Sr9c.6Sr9c.6Sr9c.6P10I.6P10I.6P10I.6LHly.6LHly.6WiTQ.6WiTQ.6WiTQ.6P5uo.6WkAo.6P5uy.6P5uy.6P5uy.6Sw1y.6Sw1y.6Sw1y?lang=en,Forestcraft,Roach,1.0,1.0,Shadowcraft,Midrange,1.0,1.0,,Runecraft,Dshift,1.0,1.0,"I'm out, feels bad",Shadowcraft,Midrange,2.0,0.0,,Bloodcraft,Vengeance,2.0,0.0,3.0,0.0
2018/09/24 11:57:29 PM MDT,Havencraft,Tenko,Master,,Shadowcraft,Midrange,2.0,1.0,Shadowcraft,Midrange,2.0,1.0,,Shadowcraft,Midrange,1.0,1.0,,Bloodcraft,Dfb,,1.0,,Runecraft,Daria,,1.0,5.0,0.0
2018/09/25 4:25:32 AM MDT,Havencraft,Tenko,A,,Runecraft,,2.0,1.0,Shadowcraft,Midrange,2.0,1.0,,Shadowcraft,Midrange,1.0,1.0,,Shadowcraft,Midrange,2.0,0.0,,Shadowcraft,Midrange,2.0,0.0,3.0,0.0
2018/09/25 5:19:52 AM MDT,Shadowcraft,Midrange,Master,https://shadowverse-portal.com/deck/1.5.63E_G.63E_G.63E_G.6XtQc.6XtQc.6XtQc.63FiQ.6XmqQ.6XmqQ.6Avi6.6Avi6.6Avi6.6IVXY.6IVXY.6IVXY.6MJgs.6MJgs.6MJgs.6XoXy.6XoXy.6XoXy.6Ei7Q.6Ei7Q.6Ei7Q.675ZG.675ZG.6XoXo.6XoXo.6XoXo.6Q8Io.6Q8Io.6Q8Io.6Ejr6.6Ejr6.6Ejr6.63KbE.63KbE.6EojS.6EojS.6EojS?lang=en,Runecraft,Daria,1.0,1.0,Runecraft,Burn,2.0,1.0,,Shadowcraft,Midrange,2.0,1.0,,Swordcraft,Aggro,1.0,1.0,,Shadowcraft,Midrange,2.0,1.0,5.0,0.0
2018/09/25 7:46:54 AM MDT,Havencraft,Tenko,AA,http://sv.bagoum.com/db/Dn5,Shadowcraft,Midrange,2.0,0.0,Bloodcraft,Vengeance,1.0,1.0,,Shadowcraft,Arcus,2.0,1.0,,Forestcraft,Neutral,1.0,1.0,,Shadowcraft,Midrange,1.0,1.0,4.0,0.0
2018/09/25 6:01:22 PM MDT,Runecraft,Dirt,Master,https://shadowverse-portal.com/deck/1.3.6HkyA.6HkyA.6HkyA.6LZ5A.6LZ5A.6LZ5A.66NA2.66NA2.66NA2.6A8t6.6A8t6.6A8t6.6Dz06.6Dz06.6Dz06.6PPgQ.6PPgQ.6PPgQ.6DwZs.6DwZs.6LbI6.6LbI6.6LbI6.6Dwa0.6Dwa0.6Dwa0.6X49C.6X49C.6A9bg.6A9bg.6A9bg.659nE.6Hs1I.6Hs1I.6Hs1I.6HpbC.6HpbC.6HpbC.6E0Aw.6E0Aw?lang=en,Forestcraft,Ptp,2.0,1.0,Shadowcraft,Midrange,1.0,1.0,,Shadowcraft,Midrange,2.0,0.0,,Dragoncraft,Ramp,1.0,1.0,,Swordcraft,Ironwrought,2.0,0.0,3.0,0.0
